date only,blabla,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015-04-20,0,0.26,0.38,0.31,0.27,0.25,0.23,0.24,0.52,0.46,2.7,0.34,0.55,0.62,0.95,0.25,0.38,0.25,0.4,2.1,1.36,1.46,1.52,1.26,0.28
2015-04-21,1,0.27,0.26,0.26,0.25,0.24,0.25,0.27,0.46,0.28,0.48,2.64,1.54,0.76,0.89,0.78,0.5,0.44,0.54,0.95,0.71,0.75,0.92,0.67,0.46
2015-04-22,0,0.26,0.26,0.25,0.24,0.24,0.23,0.25,0.91,0.54,0.36,0.48,0.55,0.47,0.61,1.03,0.58,0.52,0.7,2.34,0.78,0.94,0.92,0.78,0.53
2015-04-23,1,0.38,0.32,0.27,0.25,0.25,0.24,0.24,0.74,0.61,0.56,0.72,0.79,2.28,1.75,0.76,0.47,0.45,0.47,1.25,0.96,0.78,0.92,0.63,0.31
2015-04-24,0,0.27,0.24,0.24,0.26,0.24,0.45,0.28,0.64,0.36,0.22,0.37,0.57,0.72,1.47,0.71,0.77,0.63,0.92,0.79,0.34,0.65,0.95,0.98,0.38
2015-04-25,0,0.26,0.25,0.25,0.23,0.25,0.25,0.23,0.44,0.66,0.65,0.48,0.44,0.7,0.61,0.72,1.46,0.78,0.93,1.95,0.86,0.73,0.69,0.49,0.3
2015-04-26,0,0.3,0.32,0.31,0.33,0.34,0.33,0.42,0.53,0.4,0.5,0.68,1.71,0.63,0.43,1.33,0.63,0.51,2.24,2.13,0.99,0.96,0.86,0.82,0.94
2015-04-27,0,0.31,0.26,0.26,0.24,0.24,0.24,0.22,0.88,0.55,0.59,0.5,0.49,0.81,0.9,0.94,0.77,0.76,0.75,2.73,1.45,0.84,0.83,0.37,0.26
2015-04-28,1,0.27,0.27,0.25,0.24,0.26,0.24,0.23,0.53,0.7,1.54,0.51,2.37,1.1,0.46,1.41,0.3,0.31,0.42,0.59,0.64,0.84,0.99,0.46,0.27
2015-04-29,0,0.27,0.27,0.25,0.25,0.26,0.25,0.23,0.79,0.27,0.22,0.24,0.5,0.28,0.3,0.26,0.24,0.44,0.58,3.67,0.88,1.24,0.8,0.5,0.27
2015-04-30,1,0.26,0.26,0.24,0.25,0.26,0.24,0.36,0.48,1.03,1.22,2.23,0.46,1.13,1.1,0.35,0.23,0.31,0.48,0.58,0.73,0.86,0.75,0.4,0.41
2015-05-01,0,0.26,0.25,0.24,0.26,0.25,0.25,0.48,0.75,0.27,0.23,0.21,0.3,0.59,0.45,0.44,0.59,0.49,0.47,0.45,0.37,0.84,0.71,0.52,0.44
2015-05-02,0,0.31,0.26,0.27,0.25,0.24,0.27,0.24,0.56,0.43,0.49,1.07,1.11,0.75,0.55,0.71,1.39,0.9,0.66,0.31,0.24,0.43,0.82,0.77,0.27
2015-05-03,0,0.26,0.26,0.26,0.24,0.24,0.25,0.23,0.24,0.44,0.58,0.6,0.54,0.46,0.56,0.5,0.51,2.91,1.59,2.29,0.77,0.79,1.46,1.18,0.28
2015-05-04,0,0.25,0.24,0.26,0.24,0.23,0.27,0.41,1.9,0.3,0.23,0.23,0.36,1.79,0.39,0.33,0.22,0.51,2.22,2.04,0.99,0.66,0.87,0.81,0.7
2015-05-05,1,0.27,0.24,0.23,0.23,0.23,0.21,0.23,0.46,0.84,1.1,2.14,1.92,1.12,0.66,0.48,0.6,0.35,0.3,0.41,0.71,0.92,0.87,0.45,0.28
2015-05-06,0,0.33,0.26,0.24,0.25,0.26,0.24,0.47,0.64,0.23,0.24,0.51,0.7,0.55,0.38,0.39,0.43,0.51,0.65,0.65,0.5,0.52,0.78,0.65,0.5
2015-05-07,0,0.26,0.24,0.26,0.25,0.23,0.26,0.22,0.47,0.94,1.16,0.51,0.36,0.54,0.45,0.32,0.24,0.47,0.5,0.44,0.52,0.7,0.86,0.6,0.44
2015-05-08,0,0.28,0.42,0.28,0.26,0.27,0.25,0.23,0.61,0.29,0.27,0.33,0.39,0.23,0.26,1.16,1.43,0.88,2.57,1.18,0.77,0.76,0.84,0.63,0.6
2015-05-09,1,0.29,0.27,0.28,0.25,0.24,0.25,0.25,0.37,1.12,1.42,2.91,1.6,0.78,1.48,1.11,0.6,0.48,0.47,0.41,0.32,0.72,1.07,1.14,0.97
2015-05-10,0,1.03,0.32,0.27,0.26,0.25,0.27,0.26,0.43,0.36,0.29,0.43,0.78,0.45,0.25,0.24,0.48,0.48,0.52,0.71,0.85,0.97,1.32,1.09,0.28
2015-05-11,0,0.26,0.26,0.26,0.28,0.25,0.24,0.25,0.82,0.4,0.31,0.34,0.47,0.49,0.53,0.23,0.86,0.4,0.46,0.76,0.53,0.55,1.0,0.77,0.47
2015-05-12,0,0.27,0.25,0.26,0.26,0.25,0.26,0.25,0.61,0.63,0.41,0.57,0.52,0.6,3.03,2.0,0.5,0.48,0.56,0.68,0.3,0.73,1.14,0.69,0.36
2015-05-13,0,0.52,0.39,0.35,0.35,0.33,0.33,0.28,2.13,0.25,0.23,0.41,0.55,0.46,0.47,0.38,0.48,0.68,0.4,1.82,0.75,2.22,1.46,1.62,0.4
2015-05-14,0,0.26,0.24,0.26,0.25,0.25,0.26,0.26,1.73,0.88,1.12,0.24,0.76,0.78,1.4,2.13,0.48,0.51,0.51,1.59,0.52,0.69,1.1,0.69,0.4
2015-05-15,0,0.34,0.26,0.26,0.25,0.25,0.25,0.24,0.57,0.24,0.23,0.23,0.22,1.02,1.83,1.19,0.61,0.26,0.27,0.25,0.24,0.26,0.5,0.89,0.575
2015-05-16,0,0.26,0.23,0.22,0.24,0.24,0.24,0.23,0.23,0.22,0.23,0.23,0.23,0.27,0.49,0.56,0.5,0.59,0.53,0.44,0.48,0.32,0.8,0.82,0.28
2015-05-17,0,0.28,0.24,0.24,0.23,0.22,0.24,0.22,0.23,0.24,0.23,0.22,0.23,0.4,0.45,0.46,0.46,0.45,0.45,0.35,0.25,0.69,0.98,1.02,1.25
2015-05-18,0,1.62,1.7,1.26,0.52,0.23,0.22,0.22,0.23,0.22,0.22,0.24,0.23,0.63,0.43,0.31,0.74,1.12,2.42,1.56,4.29,1.82,1.45,0.84,0.7
2015-05-19,1,0.64,0.55,0.27,0.27,0.26,0.25,0.24,0.41,0.47,0.54,1.48,1.39,0.57,0.72,0.56,0.46,0.64,0.84,0.59,0.38,2.16,0.88,0.76,0.46
2015-05-20,0,0.63,0.26,0.25,0.25,0.27,0.26,0.32,0.56,0.33,0.33,0.23,0.23,0.31,0.52,0.69,0.73,0.83,1.73,1.88,1.56,0.57,0.63,0.74,0.71
2015-05-21,1,0.49,0.27,0.24,0.24,0.26,0.24,0.24,1.57,0.39,0.51,2.06,2.77,0.71,0.72,0.6,0.66,0.62,0.53,0.61,0.52,1.36,1.02,0.87,0.82
2015-05-22,0,0.28,0.24,0.24,0.23,0.23,0.23,0.25,0.44,0.25,0.24,0.25,0.24,0.37,0.51,0.61,0.6,0.65,0.55,0.47,0.42,0.4,0.51,0.42,0.585
2015-05-23,0,0.75,0.29,0.3,0.27,0.26,0.33,0.38,0.49,0.59,0.32,0.26,0.35,0.45,0.53,0.36,0.28,0.58,0.55,1.9,1.55,1.07,1.24,1.03,0.79
2015-05-24,0,0.33,0.28,0.27,0.26,0.25,0.26,0.25,0.35,0.4,0.49,0.7,0.26,0.5,0.45,0.45,0.6,2.44,0.83,1.3,1.44,0.77,0.93,0.63,0.69
2015-05-25,0,0.29,0.27,0.26,0.42,0.32,0.28,0.25,0.71,0.38,0.32,0.32,0.33,0.33,0.43,0.4,0.45,0.5,2.48,2.37,0.64,0.7,1.08,0.96,0.6
2015-05-26,0,0.28,0.26,0.27,0.27,0.26,0.26,0.27,1.8,0.76,0.55,0.31,2.36,0.39,1.44,1.41,0.83,0.4,0.27,0.45,0.54,0.54,0.78,0.49,0.55
2015-05-27,0,0.49,0.42,0.36,0.28,0.27,0.28,0.28,0.86,0.28,0.26,0.25,0.24,0.34,0.47,0.47,0.56,0.75,0.83,0.9,0.41,1.0,1.26,0.73,0.77
2015-05-28,0,0.79,0.32,0.27,0.39,0.36,0.26,0.26,0.44,0.68,0.91,0.39,0.25,0.32,0.45,0.64,0.47,0.44,0.34,0.52,0.57,0.67,0.91,0.79,0.79
2015-05-29,0,0.37,0.5,0.25,0.24,0.25,0.25,0.25,0.87,0.32,0.36,0.25,0.25,0.26,0.67,0.54,0.4,0.48,0.79,0.56,0.55,1.3,1.04,0.72,0.59
2015-05-30,0,0.55,0.76,0.35,0.27,0.26,0.25,0.27,0.26,0.39,0.4,0.33,0.58,0.9,0.61,0.41,0.32,0.47,2.41,2.08,1.21,0.42,0.49,0.61,0.59
2015-05-31,0,0.51,0.51,0.48,0.27,0.27,0.25,0.24,0.54,0.57,0.46,0.75,0.35,0.54,0.59,0.63,0.48,2.75,2.25,2.16,1.07,1.09,2.13,0.63,0.57
2015-06-01,0,0.51,0.29,0.28,0.29,0.27,0.25,0.24,0.62,0.24,0.24,0.24,0.26,0.25,0.4,0.71,2.61,0.9,0.92,0.65,0.69,0.87,1.55,0.92,0.73
2015-06-02,0,0.76,0.34,0.26,0.39,0.34,0.27,0.24,0.47,0.58,0.38,0.42,0.23,0.27,0.45,0.55,0.42,0.55,0.43,0.42,0.56,0.84,1.07,0.7,0.47
2015-06-03,0,0.45,0.65,0.32,0.27,0.25,0.26,0.26,0.62,0.95,0.91,0.3,0.3,0.29,0.36,0.5,0.51,0.4,0.59,2.96,0.59,0.57,0.7,0.79,0.78
2015-06-04,0,0.88,0.52,0.27,0.26,0.27,0.25,0.25,0.57,0.59,0.48,0.67,0.43,0.3,3.75,1.7,0.69,0.64,0.67,0.5,1.61,0.96,1.16,0.87,0.72
2015-06-05,0,0.7,0.5,0.44,0.3,0.29,0.28,0.28,0.61,0.53,0.9,0.81,0.24,0.25,0.24,0.25,0.36,0.29,0.42,0.45,0.51,0.52,0.77,0.78,0.29
2015-06-06,0,0.28,0.26,0.28,0.26,0.25,0.24,0.24,0.41,0.54,0.72,0.74,0.41,0.75,0.58,0.68,0.51,0.51,0.47,0.27,0.34,0.5,0.85,0.76,0.65
2015-06-07,0,0.82,0.59,0.45,0.3,0.27,0.28,0.28,1.01,1.05,0.75,0.68,0.53,0.4,0.25,0.39,0.71,0.5,1.58,0.99,2.59,3.72,1.02,0.72,0.91
2015-06-08,0,0.35,0.46,0.29,0.29,0.26,0.26,0.25,0.63,0.38,0.43,0.56,0.35,0.3,0.55,0.86,0.38,0.35,0.61,2.88,0.73,0.44,0.99,0.81,0.75
2015-06-09,1,0.74,0.46,0.29,0.28,0.28,0.27,0.27,0.56,0.64,0.33,0.88,2.34,1.14,0.27,0.45,0.28,0.26,0.27,0.47,0.42,0.93,1.38,1.14,0.71
2015-06-10,0,0.31,0.28,0.27,0.26,0.27,0.28,0.39,0.48,0.26,0.24,0.27,0.55,0.57,0.29,0.24,0.48,0.5,2.33,1.4,0.87,0.79,0.89,0.92,0.58
2015-06-11,0,0.28,0.29,0.28,0.27,0.26,0.27,0.26,0.47,0.93,1.2,2.42,0.28,0.32,0.48,0.57,0.47,0.45,0.27,1.03,2.62,0.58,0.66,0.44,0.36
2015-06-12,0,0.35,0.4,0.27,0.26,0.26,0.28,0.28,0.81,0.45,0.28,0.22,0.23,0.24,0.24,0.25,0.26,0.35,0.37,0.37,0.25,0.46,1.13,1.35,0.31
2015-06-13,0,0.26,0.26,0.27,0.26,0.25,0.26,0.25,0.39,0.42,0.6,0.25,0.46,0.65,1.0,1.43,0.67,0.5,0.45,0.85,0.88,0.43,0.91,0.57,0.44
2015-06-14,0,0.44,0.6,0.43,0.3,0.26,0.26,0.24,0.43,0.31,0.63,0.4,0.41,0.34,0.48,0.5,0.56,0.72,2.16,3.98,0.5,1.07,0.68,0.77,0.42
2015-06-15,0,0.45,0.29,0.28,0.28,0.28,0.26,0.28,1.66,0.89,0.86,0.24,0.24,0.5,0.55,0.53,0.62,0.53,2.14,4.34,0.77,0.48,1.19,1.1,0.95
2015-06-16,0,0.39,0.73,0.49,0.35,0.34,0.33,0.34,0.45,0.49,0.55,1.7,0.38,0.45,0.31,0.46,0.26,0.25,0.25,0.26,0.25,0.67,1.14,0.54,0.48
2015-06-17,0,0.7,0.44,0.26,0.27,0.25,0.25,0.26,0.45,0.25,0.38,0.36,0.26,0.46,0.36,0.29,0.27,0.36,0.42,0.65,0.35,0.45,1.31,0.96,0.5
2015-06-18,0,0.48,0.46,0.24,0.38,0.32,0.24,0.23,0.38,0.38,0.57,1.68,0.4,0.4,0.53,0.62,0.54,0.44,0.56,0.43,0.47,0.59,0.79,0.97,0.76
2015-06-19,0,0.53,0.25,0.23,0.23,0.23,0.23,0.23,0.41,0.29,0.22,0.22,0.24,0.25,0.62,0.62,0.45,0.31,0.58,0.65,0.31,0.39,1.58,0.73,0.49
2015-06-20,1,0.34,0.47,0.59,0.26,0.37,0.29,0.24,0.23,0.44,0.42,0.45,3.08,0.49,0.46,0.49,0.47,0.46,0.61,0.51,0.99,0.35,0.65,1.09,0.61
2015-06-21,0,0.45,0.61,0.26,0.23,0.24,0.24,0.23,0.23,0.24,0.39,2.12,0.47,0.76,1.0,0.33,0.71,0.65,0.52,1.2,2.22,0.52,0.72,1.11,0.84
2015-06-22,0,0.37,0.26,0.24,0.24,0.25,0.24,0.23,0.57,0.68,0.85,0.24,0.24,0.4,0.51,0.49,0.69,0.63,0.47,0.61,0.89,0.6,0.73,0.68,0.52
2015-06-23,1,0.54,0.68,0.25,0.24,0.23,0.25,0.4,0.28,0.5,0.44,1.9,0.89,0.74,0.77,0.92,1.04,0.46,1.57,0.81,0.72,0.39,0.55,0.55,0.56
2015-06-24,0,0.5,0.62,0.39,0.38,0.37,0.37,0.36,0.71,0.28,0.29,0.4,0.26,0.25,0.54,0.48,0.67,0.51,0.47,2.22,0.79,0.68,1.5,0.9,0.6
2015-06-25,0,0.52,0.61,0.38,0.37,0.36,0.37,0.29,0.47,0.36,0.24,0.47,0.45,0.31,0.52,2.32,0.44,0.47,0.48,0.45,0.32,0.33,0.66,0.75,0.52
2015-06-26,0,0.67,0.67,0.48,0.39,0.38,0.37,0.38,0.64,0.26,0.31,0.31,0.3,0.32,0.71,1.6,0.59,0.56,0.5,2.44,0.79,0.49,0.86,2.28,0.71
2015-06-27,1,0.53,0.4,0.38,0.39,0.46,0.5,0.38,0.32,0.63,0.61,1.61,1.33,2.36,0.52,0.54,0.4,0.3,0.29,0.28,0.28,0.83,0.78,0.69,0.97
2015-06-28,0,0.8,0.56,0.38,0.39,0.39,0.37,0.48,0.37,0.39,0.55,0.49,0.49,0.49,0.52,0.56,0.48,0.49,1.15,0.87,0.28,0.68,0.73,0.64,0.47
2015-06-29,0,0.3,0.29,0.43,0.38,0.29,0.29,0.29,0.62,0.35,0.27,0.26,0.26,0.46,0.53,0.64,0.55,0.67,0.44,0.78,0.59,0.76,0.76,0.79,0.52
2015-06-30,1,0.45,0.37,0.32,0.31,0.3,0.29,0.3,0.51,0.55,0.38,3.53,1.03,0.38,0.82,0.72,0.37,0.27,0.33,0.5,0.43,0.47,0.73,0.95,0.72
2015-07-01,0,0.42,0.49,0.38,0.31,0.31,0.3,0.29,0.29,0.44,2.23,0.27,0.39,0.56,0.37,0.67,1.21,1.36,3.85,2.37,0.31,0.46,0.67,0.5,0.42
2015-07-02,0,0.42,0.42,0.47,0.37,0.31,0.3,0.29,0.56,0.32,0.43,0.28,0.3,0.44,0.61,0.63,0.48,0.7,0.48,0.6,0.58,0.73,0.85,0.59,1.22
